Modified:,2023,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?
53,Reading,,Session,,"Ajahn Chah, “Toilets on the Path” (continued) from Collected Teachings (pdf) pp. 734-745.",,,,,,,,,,,,
53,Read by,,,,Anāgārika Anthony,,,,,,,,,,,,
53,,,26:25,,"When you were living with Ajahn Chah, were many of his talks more related to the Korwat or practical matters, as opposed to the High Dhamma?",,,,,,,,,,,,
53,,,29:22,,There were a number of different alms routes out of Wat Pah Pong. How was it decided who went on each one and how was the food distributed for the meal?,,,,,,,,,,,,
53,,,39:29,,"At Wat Pah Pong there's a large mural of lay people eating, do you know where that came from or how long its been there?",,,,,,,,,,,,
53,,,40:26,,I have heard that the food would go into a big pot and get all mixed up. How often did that happen?,,,,,,,,,,,,
53,,,41:40,,Ajahn Naniko describes how who went on the different alms routes was decided at Wat Pah Pong.,,,,,,,,,,,,
53,,,43:00,,Did the alms routes stay the same over the years?,,,,,,,,,,,,
53,,,44:05,,Do you try to pass most of the houses in the village?,,,,,,,,,,,,
53,,,45:20,,"You'd have one village supporting more than one monastery, is that right?",,,,,,,,,,,,
53,,,46:58,,How many villages are around Poo Jom Gom?,,,,,,,,,,,,
54,Reading,,Session,,"Ajahn Anan, Readings from Sotāpattimagga (pdf): “The Peaceful Heart Discovers the Truth” (partial), pp. 21-23; “When Calm Arises, Investigate the Body,” pp. 41-45; “When the Practice Declines,” pp. 68-70; “Nibbana is the Highest Happiness,” pp. 89-91.",,,,,,,,,,,,
54,Read by,,,,Anāgārika J,,,,,,,,,,,,
54,,,19:48,,Do you know the time period when Ajahn Anan trained with Luang Por Chah?,,,,,,,,,,,,
55,Reading,,Session,,"""Training under Ajahn Chah"" by Ajahn Tong Jon from _Twigs and Branches of the Bodhinyana_.",ATongJan,,,,,,,,,,,
55,Read by,,,,,DS,,,,,,,,,,,
55,Translated by,,,,,AKov,,,,,,,,,,,
55,,,20:10,,Are there any stories you can share from the times when you were attendant to Luang Por Chah?,AP,Ajahn Chah,Ajahn Pasanno,Upatakh,,Teaching Dhamma,Mentoring,,,,,
55,Quote,,,,I never asked him for anything. It never occured to me to ask Ajahn Chah for anything.,,Ajahn Chah,Ajahn Pasanno,Contentment,,,,,,,,
55,Story,,,,Ajahn Chah makes fun of Ajahn Pasanno's first Pāṭimokkha chanting.,,Ajahn Chah,Ajahn Pasanno,Pāṭimokkha,,,,,,,,
55,Quote,,,,He would be unrelenting if you were stuck in some aversion....He wouldn't indulge it. It was inevitably painful if one did.,,Ajahn Chah,Aversion,Fierce/direct teaching,,,,,,,,
55,,,26:37,,Were there any other ways in which he tormented you specifically?,AP,Ajahn Chah,Ajahn Pasanno,Fierce/direct teaching,,,,,,,,
55,Story,,,,Ajahn Chah won't let Ajahn Pasanno go to a branch monastery to escape the misery of the hot season.,,Ajahn Chah,Ajahn Pasanno,Culture/Natural environment,Work,Thai Ajahn Chah monasteries,Restlessness and worry,Aversion,,,,
55,Story,,,,Ajahn Chah calls Ajahn Pasanno lazy.,,Ajahn Chah,Ajahn Pasanno,Pūjā,,,,,,,,
55,Indirect quote,,,,Do you give up?|Ajahn Chah to Ajahn Pasanno.,,Ajahn Chah,Ajahn Pasanno,Vinaya,Fierce/direct teaching,Relinquishment,,,,,,
55,,,32:45,,Would Luang Por Chah teach or test monks and students in different ways?,AP,Ajahn Chah,Mentoring,Fierce/direct teaching,,,,,,,,
55,Recollection,,,,Joseph Kappel shakes with fear when on the receiving end of Ajahn Chah's admonishments.,,Ajahn Chah,Joseph Kappel,Admonishment/feedback,Fierce/direct teaching,Fear,,,,,,
55,Recollection,s,35:16,,of Ajahn Chah charming people.,AP,Ajahn Chah,Personal presence,,,,,,,,,
55,Story,,,,"""I'll have her bowing before the end."" — Ajahn Chah speaking of George Sharp's daughter who travelled with George to Thailand.",,Ajahn Chah,George Sharp,Personal presence,Bowing,,,,,,,
55,Note,-,,,Compare to George Sharp's version in Chithurst Story p. 67.,,,,,,,,,,,,
55,Indirect quote,,,,Thank you. That was the most delicious meal I've had here.|Ajahn Chah to an anxious English donor.,,Ajahn Chah,Food,Gratitude,Culture/West,Culture/Thailand,,,,,,
56,Reading,,Session,,"Ajahn Mahā Boowa, “The Beauty Comes from Within” from Paying Our Last Respects (pdf) pp. 149-151 and an unpublished talk (5:03) given by Ajahn Liem at Abhayagiri in 2009.",,,,,,,,,,,,
56,Read by,,,,Beth Stef,,,,,,,,,,,,
57,Reading,,Session,,"Ajahn Sim, “Source and Stream” from Simply So (html). Ajahn Pasanno introduces the reading with background information about Ajahn Sim.",,,,,,,,,,,,
57,Read by,,,,Ajahn Pasanno,,,,,,,,,,,,
57,,,,,Questions:,,,,,,,,,,,,
57,,,26:07,,There was a reference to the 4 assembles – what are they?,,,,,,,,,,,,
57,,,26:52,,"Within Luang Por Mun's disciples, were some renowned for wisdom, others for samādhi, determination, psychic powers, faith, and so on?",,,,,,,,,,,,
57,,,28:51,,Who was the monk that was said to be flying around with the military planes?,,,,,,,,,,,,
57,,,30:01,,"I heard he was flying on an airplane engine, investigating it, and they had to ask him to leave it alone?",,,,,,,,,,,,
57,,,31:06,,In that talk he seemed to stress doing samatha meditation before practicing vipassana. Is that strictly held within this tradition?,,,,,,,,,,,,
57,,,34:58,,"When he talked about nama rupa, is that looking at the fundamental movement of the mind towards unwholesome dhammas?",,,,,,,,,,,,
57,,,36:16,,What happened to Mae Chee Songchai?,,,,,,,,,,,,
58,Reading,,Session,,"Upasika Kee Nanayon, “Discernment Versus Self-Deception” and “Awareness Right at Awareness"" from An Unentangled Knowing (pdf) pp. 87-90 and 14-17.",,,,,,,,,,,,
58,Read by,,,,Ajahn Jotipālo,,,,,,,,,,,,
58,,,18:13,,There seems to be a point of difference in teachings – some teachers emphasize mindfulness of the mind and others say “go for the body.” Do you have any reflections about that?,,,,,,,,,,,,
58,,,20:26,,Ajahn Pasanno speaks for a while on the theme “all Dhammas are not to be clung to.”,,,,,,,,,,,,
58,,,24:18,,"With the succinct teaching “know and let go,” I notice a tendency in the mind to go through the motions of that without really being able to enter into it – what do I do about that?",,,,,,,,,,,,
58,,,28:28,,"In my desire to get to the “heart of it” I find part of my mind really wants this, but another part of my mind is not going along with the program. How do I keep myself on the Path?",,,,,,,,,,,,
58,,,35:27,,Ajahn Pasanno quotes Ajahn Succito's “the art of the pause” and speaks about taking note of and relishing the good that we have done.,,,,,,,,,,,,
